sample_id,bacteria,antibiotics,phenotype
SAMN11953778,Escherichia coli,ertapenem,susceptible
SAMN11953778,Escherichia coli,gentamicin,susceptible
SAMN11953778,Escherichia coli,imipenem,susceptible
SAMN11953778,Escherichia coli,levofloxacin,resistant
SAMN11953778,Escherichia coli,meropenem,susceptible
SAMN11953778,Escherichia coli,tetracycline,susceptible
SAMN11953778,Escherichia coli,tobramycin,susceptible
SAMN07291507,Klebsiella pneumoniae,amikacin,susceptible
SAMN07291507,Klebsiella pneumoniae,aztreonam,resistant
SAMN07291507,Klebsiella pneumoniae,cefotaxime,resistant
SAMN07291507,Klebsiella pneumoniae,ceftazidime,resistant
SAMN07291507,Klebsiella pneumoniae,ceftriaxone,resistant
SAMN07291507,Klebsiella pneumoniae,ciprofloxacin,resistant
SAMN07291507,Klebsiella pneumoniae,doripenem,resistant
SAMN07291507,Klebsiella pneumoniae,ertapenem,resistant
SAMN07291507,Klebsiella pneumoniae,gentamicin,resistant
SAMN07291507,Klebsiella pneumoniae,imipenem,resistant
SAMN07291507,Klebsiella pneumoniae,levofloxacin,resistant
SAMN07291507,Klebsiella pneumoniae,meropenem,resistant
SAMN07291507,Klebsiella pneumoniae,tigecycline,susceptible
SAMN07291507,Klebsiella pneumoniae,tobramycin,resistant
SAMN07291556,Staphylococcus aureus,cefoxitin,resistant
SAMN07291556,Staphylococcus aureus,clindamycin,susceptible
SAMN07291556,Staphylococcus aureus,doxycycline,susceptible
SAMN07291556,Staphylococcus aureus,erythromycin,susceptible
SAMN07291556,Staphylococcus aureus,gentamicin,susceptible
SAMN07291556,Staphylococcus aureus,levofloxacin,susceptible
SAMN07291556,Staphylococcus aureus,oxacillin,susceptible
SAMN07291556,Staphylococcus aureus,penicillin,resistant
SAMN07291556,Staphylococcus aureus,rifampin,susceptible
SAMN07291556,Staphylococcus aureus,tetracycline,susceptible
SAMN07291570,Staphylococcus aureus,cefoxitin,resistant
SAMN07291570,Staphylococcus aureus,clindamycin,susceptible
SAMN07291570,Staphylococcus aureus,doxycycline,susceptible
SAMN07291570,Staphylococcus aureus,erythromycin,resistant
SAMN07291570,Staphylococcus aureus,gentamicin,susceptible
SAMN07291570,Staphylococcus aureus,levofloxacin,susceptible
SAMN07291570,Staphylococcus aureus,oxacillin,resistant
SAMN07291570,Staphylococcus aureus,penicillin,resistant
SAMN07291570,Staphylococcus aureus,rifampin,susceptible
SAMN07291570,Staphylococcus aureus,tetracycline,susceptible
SAMN07291571,Staphylococcus aureus,cefoxitin,resistant
SAMN07291571,Staphylococcus aureus,clindamycin,susceptible
SAMN07291571,Staphylococcus aureus,doxycycline,susceptible
SAMN07291571,Staphylococcus aureus,erythromycin,resistant
SAMN07291571,Staphylococcus aureus,gentamicin,susceptible
SAMN07291571,Staphylococcus aureus,levofloxacin,susceptible
SAMN07291571,Staphylococcus aureus,oxacillin,resistant
SAMN07291571,Staphylococcus aureus,penicillin,resistant
SAMN07291571,Staphylococcus aureus,rifampin,susceptible
SAMN07291571,Staphylococcus aureus,tetracycline,susceptible
SAMN07291572,Staphylococcus aureus,cefoxitin,resistant
SAMN07291572,Staphylococcus aureus,doxycycline,susceptible
SAMN07291572,Staphylococcus aureus,erythromycin,resistant
SAMN07291572,Staphylococcus aureus,gentamicin,susceptible
SAMN07291572,Staphylococcus aureus,levofloxacin,resistant
SAMN07291572,Staphylococcus aureus,oxacillin,resistant
SAMN07291572,Staphylococcus aureus,penicillin,resistant
SAMN07291572,Staphylococcus aureus,rifampin,susceptible
SAMN07291572,Staphylococcus aureus,tetracycline,susceptible
SAMN07291573,Staphylococcus aureus,cefoxitin,resistant
SAMN07291573,Staphylococcus aureus,clindamycin,susceptible
SAMN07291573,Staphylococcus aureus,doxycycline,susceptible
SAMN07291573,Staphylococcus aureus,erythromycin,resistant
SAMN07291573,Staphylococcus aureus,gentamicin,susceptible
SAMN07291573,Staphylococcus aureus,levofloxacin,resistant
SAMN07291573,Staphylococcus aureus,oxacillin,resistant
SAMN07291573,Staphylococcus aureus,penicillin,resistant
SAMN07291573,Staphylococcus aureus,rifampin,susceptible
SAMN07291573,Staphylococcus aureus,tetracycline,resistant
SAMN07291574,Staphylococcus aureus,cefoxitin,resistant
SAMN07291574,Staphylococcus aureus,clindamycin,susceptible
SAMN07291574,Staphylococcus aureus,doxycycline,susceptible
SAMN07291574,Staphylococcus aureus,erythromycin,resistant
SAMN07291574,Staphylococcus aureus,gentamicin,susceptible
SAMN07291574,Staphylococcus aureus,levofloxacin,susceptible
SAMN07291574,Staphylococcus aureus,oxacillin,resistant
SAMN07291574,Staphylococcus aureus,penicillin,resistant
SAMN07291574,Staphylococcus aureus,rifampin,susceptible
SAMN07291574,Staphylococcus aureus,tetracycline,susceptible
SAMN07291575,Staphylococcus aureus,cefoxitin,resistant
SAMN07291575,Staphylococcus aureus,doxycycline,susceptible
SAMN07291575,Staphylococcus aureus,erythromycin,resistant
SAMN07291575,Staphylococcus aureus,gentamicin,susceptible
SAMN07291575,Staphylococcus aureus,levofloxacin,resistant
SAMN07291575,Staphylococcus aureus,oxacillin,resistant
SAMN07291575,Staphylococcus aureus,penicillin,resistant
SAMN07291575,Staphylococcus aureus,rifampin,susceptible
SAMN07291575,Staphylococcus aureus,tetracycline,susceptible
SAMN07291576,Staphylococcus aureus,cefoxitin,resistant
SAMN07291576,Staphylococcus aureus,clindamycin,resistant
SAMN07291576,Staphylococcus aureus,doxycycline,susceptible
SAMN07291576,Staphylococcus aureus,erythromycin,resistant
SAMN07291576,Staphylococcus aureus,gentamicin,susceptible
SAMN07291576,Staphylococcus aureus,levofloxacin,resistant
SAMN07291576,Staphylococcus aureus,oxacillin,resistant
SAMN07291576,Staphylococcus aureus,penicillin,resistant
SAMN07291576,Staphylococcus aureus,rifampin,susceptible
SAMN07291576,Staphylococcus aureus,tetracycline,susceptible
SAMN07291577,Staphylococcus aureus,cefoxitin,susceptible
SAMN07291577,Staphylococcus aureus,clindamycin,susceptible
SAMN07291577,Staphylococcus aureus,doxycycline,susceptible
SAMN07291577,Staphylococcus aureus,erythromycin,susceptible
SAMN07291577,Staphylococcus aureus,gentamicin,susceptible
SAMN07291577,Staphylococcus aureus,levofloxacin,susceptible
SAMN07291577,Staphylococcus aureus,oxacillin,susceptible
SAMN07291577,Staphylococcus aureus,penicillin,resistant
SAMN07291577,Staphylococcus aureus,rifampin,susceptible
SAMN07291577,Staphylococcus aureus,tetracycline,susceptible
SAMN07291578,Staphylococcus aureus,cefoxitin,susceptible
SAMN07291578,Staphylococcus aureus,clindamycin,resistant
SAMN07291578,Staphylococcus aureus,doxycycline,susceptible
SAMN07291578,Staphylococcus aureus,erythromycin,resistant
SAMN07291578,Staphylococcus aureus,gentamicin,susceptible
SAMN07291578,Staphylococcus aureus,levofloxacin,resistant
SAMN07291578,Staphylococcus aureus,oxacillin,susceptible
SAMN07291578,Staphylococcus aureus,penicillin,resistant
SAMN07291578,Staphylococcus aureus,rifampin,resistant
SAMN07291578,Staphylococcus aureus,tetracycline,susceptible
SAMN07291579,Staphylococcus aureus,cefoxitin,susceptible
SAMN07291579,Staphylococcus aureus,clindamycin,resistant
SAMN07291579,Staphylococcus aureus,doxycycline,susceptible
SAMN07291579,Staphylococcus aureus,erythromycin,resistant
SAMN07291579,Staphylococcus aureus,gentamicin,susceptible
SAMN07291579,Staphylococcus aureus,levofloxacin,resistant
SAMN07291579,Staphylococcus aureus,oxacillin,susceptible
SAMN07291579,Staphylococcus aureus,penicillin,resistant
SAMN07291579,Staphylococcus aureus,rifampin,resistant
SAMN07291579,Staphylococcus aureus,tetracycline,susceptible
SAMN07291580,Staphylococcus aureus,cefoxitin,susceptible
SAMN07291580,Staphylococcus aureus,clindamycin,susceptible
SAMN07291580,Staphylococcus aureus,doxycycline,susceptible
SAMN07291580,Staphylococcus aureus,gentamicin,susceptible
SAMN07291580,Staphylococcus aureus,levofloxacin,susceptible
SAMN07291580,Staphylococcus aureus,oxacillin,susceptible
SAMN07291580,Staphylococcus aureus,penicillin,resistant
SAMN07291580,Staphylococcus aureus,rifampin,susceptible
SAMN07291580,Staphylococcus aureus,tetracycline,susceptible
SAMN07291581,Staphylococcus aureus,cefoxitin,susceptible
SAMN07291581,Staphylococcus aureus,clindamycin,susceptible
SAMN07291581,Staphylococcus aureus,doxycycline,susceptible
SAMN07291581,Staphylococcus aureus,gentamicin,susceptible
SAMN07291581,Staphylococcus aureus,levofloxacin,susceptible
SAMN07291581,Staphylococcus aureus,oxacillin,susceptible
SAMN07291581,Staphylococcus aureus,penicillin,resistant
SAMN07291581,Staphylococcus aureus,rifampin,susceptible
SAMN07291581,Staphylococcus aureus,tetracycline,susceptible
SAMN07291582,Staphylococcus aureus,cefoxitin,susceptible
SAMN07291582,Staphylococcus aureus,doxycycline,susceptible
SAMN07291582,Staphylococcus aureus,erythromycin,susceptible
SAMN07291582,Staphylococcus aureus,gentamicin,susceptible
SAMN07291582,Staphylococcus aureus,levofloxacin,susceptible
SAMN07291582,Staphylococcus aureus,oxacillin,susceptible
SAMN07291582,Staphylococcus aureus,penicillin,resistant
SAMN07291582,Staphylococcus aureus,rifampin,susceptible
SAMN07291582,Staphylococcus aureus,tetracycline,susceptible
SAMN07291583,Staphylococcus aureus,cefoxitin,susceptible
SAMN07291583,Staphylococcus aureus,clindamycin,susceptible
SAMN07291583,Staphylococcus aureus,erythromycin,resistant
SAMN07291583,Staphylococcus aureus,gentamicin,susceptible
SAMN07291583,Staphylococcus aureus,levofloxacin,susceptible
SAMN07291583,Staphylococcus aureus,oxacillin,susceptible
SAMN07291583,Staphylococcus aureus,penicillin,resistant
SAMN07291583,Staphylococcus aureus,rifampin,susceptible
SAMN07291583,Staphylococcus aureus,tetracycline,susceptible
SAMN07291584,Staphylococcus aureus,cefoxitin,susceptible
SAMN07291584,Staphylococcus aureus,clindamycin,susceptible
SAMN07291584,Staphylococcus aureus,doxycycline,susceptible
SAMN07291584,Staphylococcus aureus,erythromycin,susceptible
SAMN07291584,Staphylococcus aureus,gentamicin,susceptible
SAMN07291584,Staphylococcus aureus,levofloxacin,susceptible
SAMN07291584,Staphylococcus aureus,oxacillin,susceptible
SAMN07291584,Staphylococcus aureus,penicillin,resistant
SAMN07291584,Staphylococcus aureus,rifampin,susceptible
SAMN07291584,Staphylococcus aureus,tetracycline,susceptible
SAMN07291585,Staphylococcus aureus,cefoxitin,susceptible
SAMN07291585,Staphylococcus aureus,clindamycin,susceptible
SAMN07291585,Staphylococcus aureus,doxycycline,susceptible
SAMN07291585,Staphylococcus aureus,erythromycin,susceptible
SAMN07291585,Staphylococcus aureus,gentamicin,susceptible
SAMN07291585,Staphylococcus aureus,levofloxacin,susceptible
SAMN07291585,Staphylococcus aureus,oxacillin,susceptible
SAMN07291585,Staphylococcus aureus,penicillin,resistant
SAMN07291585,Staphylococcus aureus,rifampin,susceptible
SAMN07291585,Staphylococcus aureus,tetracycline,susceptible
SAMN11953780,Escherichia coli,amikacin,susceptible
SAMN11953780,Escherichia coli,ampicillin,resistant
SAMN11953780,Escherichia coli,aztreonam,susceptible
SAMN11953780,Escherichia coli,cefepime,susceptible
SAMN11953780,Escherichia coli,cefotaxime,susceptible
SAMN11953780,Escherichia coli,ciprofloxacin,resistant
SAMN11953780,Escherichia coli,doripenem,susceptible
SAMN11953780,Escherichia coli,ertapenem,susceptible
SAMN11953780,Escherichia coli,gentamicin,susceptible
SAMN11953780,Escherichia coli,imipenem,susceptible
SAMN11953780,Escherichia coli,levofloxacin,resistant
SAMN11953780,Escherichia coli,meropenem,susceptible
SAMN11953780,Escherichia coli,tetracycline,resistant
SAMN11953780,Escherichia coli,tobramycin,susceptible
SAMN11953781,Escherichia coli,amikacin,susceptible
SAMN11953781,Escherichia coli,ampicillin,resistant
SAMN11953781,Escherichia coli,aztreonam,resistant
SAMN11953781,Escherichia coli,cefepime,resistant
SAMN11953781,Escherichia coli,cefotaxime,resistant
SAMN11953781,Escherichia coli,cefoxitin,susceptible
SAMN11953781,Escherichia coli,ceftazidime,resistant
SAMN11953781,Escherichia coli,ceftriaxone,resistant
SAMN11953781,Escherichia coli,ciprofloxacin,resistant
SAMN11953781,Escherichia coli,doripenem,susceptible
SAMN11953781,Escherichia coli,ertapenem,susceptible
SAMN11953781,Escherichia coli,gentamicin,susceptible
SAMN11953781,Escherichia coli,imipenem,susceptible
SAMN11953781,Escherichia coli,levofloxacin,resistant
SAMN11953781,Escherichia coli,meropenem,susceptible
SAMN11953781,Escherichia coli,tetracycline,resistant
SAMN11953783,Klebsiella pneumoniae,amikacin,susceptible
SAMN11953783,Klebsiella pneumoniae,aztreonam,resistant
SAMN11953783,Klebsiella pneumoniae,cefepime,resistant
SAMN11953783,Klebsiella pneumoniae,cefotaxime,resistant
SAMN11953783,Klebsiella pneumoniae,ceftazidime,resistant
SAMN11953783,Klebsiella pneumoniae,ceftriaxone,resistant
SAMN11953783,Klebsiella pneumoniae,ciprofloxacin,resistant
SAMN11953783,Klebsiella pneumoniae,doripenem,susceptible
SAMN11953783,Klebsiella pneumoniae,ertapenem,susceptible
SAMN11953783,Klebsiella pneumoniae,gentamicin,susceptible
SAMN11953783,Klebsiella pneumoniae,imipenem,susceptible
SAMN11953783,Klebsiella pneumoniae,levofloxacin,resistant
SAMN11953783,Klebsiella pneumoniae,meropenem,susceptible
SAMN11953783,Klebsiella pneumoniae,tetracycline,resistant
SAMN11953783,Klebsiella pneumoniae,tigecycline,resistant
SAMN11953783,Klebsiella pneumoniae,tobramycin,resistant
SAMN11953944,Enterobacter cloacae,amikacin,susceptible
SAMN11953944,Enterobacter cloacae,aztreonam,susceptible
SAMN11953944,Enterobacter cloacae,cefepime,resistant
SAMN11953944,Enterobacter cloacae,cefotaxime,resistant
SAMN11953944,Enterobacter cloacae,ceftazidime,resistant
SAMN11953944,Enterobacter cloacae,ceftriaxone,resistant
SAMN11953944,Enterobacter cloacae,ciprofloxacin,susceptible
SAMN11953944,Enterobacter cloacae,doripenem,resistant
SAMN11953944,Enterobacter cloacae,ertapenem,resistant
SAMN11953944,Enterobacter cloacae,gentamicin,susceptible
SAMN11953944,Enterobacter cloacae,imipenem,resistant
SAMN11953944,Enterobacter cloacae,levofloxacin,susceptible
SAMN11953944,Enterobacter cloacae,tetracycline,susceptible
SAMN11953944,Enterobacter cloacae,tigecycline,susceptible
SAMN11953945,Enterobacter cloacae,amikacin,susceptible
SAMN11953945,Enterobacter cloacae,aztreonam,resistant
SAMN11953945,Enterobacter cloacae,cefepime,resistant
SAMN11953945,Enterobacter cloacae,cefotaxime,resistant
SAMN11953945,Enterobacter cloacae,ceftazidime,resistant
SAMN11953945,Enterobacter cloacae,ceftriaxone,resistant
SAMN11953945,Enterobacter cloacae,ciprofloxacin,resistant
SAMN11953945,Enterobacter cloacae,doripenem,resistant
SAMN11953945,Enterobacter cloacae,ertapenem,resistant
SAMN11953945,Enterobacter cloacae,gentamicin,resistant
SAMN11953945,Enterobacter cloacae,imipenem,resistant
SAMN11953945,Enterobacter cloacae,levofloxacin,resistant
SAMN11953945,Enterobacter cloacae,tetracycline,resistant
SAMN11953945,Enterobacter cloacae,tigecycline,resistant
SAMN11953945,Enterobacter cloacae,tobramycin,resistant
SAMN11953947,Klebsiella pneumoniae,amikacin,susceptible
SAMN11953947,Klebsiella pneumoniae,aztreonam,resistant
SAMN11953947,Klebsiella pneumoniae,cefepime,resistant
SAMN11953947,Klebsiella pneumoniae,cefotaxime,resistant
SAMN11953947,Klebsiella pneumoniae,ceftazidime,resistant
SAMN11953947,Klebsiella pneumoniae,ceftriaxone,resistant
SAMN11953947,Klebsiella pneumoniae,colistin,susceptible
SAMN11953947,Klebsiella pneumoniae,doripenem,resistant
SAMN11953947,Klebsiella pneumoniae,ertapenem,resistant
SAMN11953947,Klebsiella pneumoniae,gentamicin,susceptible
SAMN11953947,Klebsiella pneumoniae,imipenem,resistant
SAMN11953947,Klebsiella pneumoniae,levofloxacin,susceptible
SAMN11953947,Klebsiella pneumoniae,minocycline,susceptible
SAMN11953947,Klebsiella pneumoniae,tetracycline,resistant
SAMN11953947,Klebsiella pneumoniae,tigecycline,susceptible
SAMN11953948,Klebsiella pneumoniae,amikacin,susceptible
SAMN11953948,Klebsiella pneumoniae,aztreonam,resistant
SAMN11953948,Klebsiella pneumoniae,cefepime,resistant
SAMN11953948,Klebsiella pneumoniae,cefotaxime,resistant
SAMN11953948,Klebsiella pneumoniae,ceftazidime,resistant
SAMN11953948,Klebsiella pneumoniae,ceftriaxone,resistant
SAMN11953948,Klebsiella pneumoniae,ciprofloxacin,susceptible
SAMN11953948,Klebsiella pneumoniae,colistin,susceptible
SAMN11953948,Klebsiella pneumoniae,doripenem,resistant
SAMN11953948,Klebsiella pneumoniae,ertapenem,resistant
SAMN11953948,Klebsiella pneumoniae,gentamicin,resistant
SAMN11953948,Klebsiella pneumoniae,imipenem,resistant
SAMN11953948,Klebsiella pneumoniae,levofloxacin,susceptible
SAMN11953948,Klebsiella pneumoniae,meropenem,resistant
SAMN11953948,Klebsiella pneumoniae,minocycline,susceptible
SAMN11953948,Klebsiella pneumoniae,tetracycline,susceptible
SAMN11953948,Klebsiella pneumoniae,tigecycline,susceptible
SAMN11953949,Klebsiella pneumoniae,amikacin,resistant
SAMN11953949,Klebsiella pneumoniae,aztreonam,resistant
SAMN11953949,Klebsiella pneumoniae,cefepime,resistant
SAMN11953949,Klebsiella pneumoniae,cefotaxime,resistant
SAMN11953949,Klebsiella pneumoniae,ceftazidime,resistant
SAMN11953949,Klebsiella pneumoniae,ceftriaxone,resistant
SAMN11953949,Klebsiella pneumoniae,ciprofloxacin,resistant
SAMN11953949,Klebsiella pneumoniae,doripenem,resistant
SAMN11953949,Klebsiella pneumoniae,ertapenem,resistant
SAMN11953949,Klebsiella pneumoniae,gentamicin,resistant
SAMN11953949,Klebsiella pneumoniae,imipenem,resistant
SAMN11953949,Klebsiella pneumoniae,meropenem,resistant
SAMN11953949,Klebsiella pneumoniae,minocycline,resistant
SAMN11953949,Klebsiella pneumoniae,tetracycline,resistant
SAMN11953949,Klebsiella pneumoniae,tigecycline,susceptible
SAMN11953949,Klebsiella pneumoniae,tobramycin,resistant
SAMN11953950,Klebsiella pneumoniae,amikacin,resistant
SAMN11953950,Klebsiella pneumoniae,aztreonam,resistant
SAMN11953950,Klebsiella pneumoniae,cefepime,resistant
SAMN11953950,Klebsiella pneumoniae,cefotaxime,resistant
SAMN11953950,Klebsiella pneumoniae,ceftazidime,resistant
SAMN11953950,Klebsiella pneumoniae,ceftriaxone,resistant
SAMN11953950,Klebsiella pneumoniae,ciprofloxacin,resistant
SAMN11953950,Klebsiella pneumoniae,doripenem,resistant
SAMN11953950,Klebsiella pneumoniae,ertapenem,resistant
SAMN11953950,Klebsiella pneumoniae,gentamicin,resistant
SAMN11953950,Klebsiella pneumoniae,imipenem,resistant
SAMN11953950,Klebsiella pneumoniae,levofloxacin,resistant
SAMN11953950,Klebsiella pneumoniae,meropenem,resistant
SAMN11953950,Klebsiella pneumoniae,minocycline,resistant
SAMN11953950,Klebsiella pneumoniae,tigecycline,susceptible
SAMN11953950,Klebsiella pneumoniae,tobramycin,resistant
SAMN11953951,Pseudomonas aeruginosa,aztreonam,resistant
SAMN11953951,Pseudomonas aeruginosa,cefepime,resistant
SAMN11953951,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN11953951,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN11953951,Pseudomonas aeruginosa,colistin,susceptible
SAMN11953951,Pseudomonas aeruginosa,doripenem,resistant
SAMN11953951,Pseudomonas aeruginosa,gentamicin,resistant
SAMN11953951,Pseudomonas aeruginosa,imipenem,resistant
SAMN11953951,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN11953951,Pseudomonas aeruginosa,meropenem,resistant
SAMN11953951,Pseudomonas aeruginosa,tobramycin,resistant
SAMN11953952,Pseudomonas aeruginosa,amikacin,resistant
SAMN11953952,Pseudomonas aeruginosa,aztreonam,susceptible
SAMN11953952,Pseudomonas aeruginosa,cefepime,resistant
SAMN11953952,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN11953952,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN11953952,Pseudomonas aeruginosa,colistin,susceptible
SAMN11953952,Pseudomonas aeruginosa,doripenem,resistant
SAMN11953952,Pseudomonas aeruginosa,gentamicin,resistant
SAMN11953952,Pseudomonas aeruginosa,imipenem,resistant
SAMN11953952,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN11953952,Pseudomonas aeruginosa,meropenem,resistant
SAMN11953952,Pseudomonas aeruginosa,tobramycin,resistant
SAMN11953953,Pseudomonas aeruginosa,amikacin,susceptible
SAMN11953953,Pseudomonas aeruginosa,aztreonam,susceptible
SAMN11953953,Pseudomonas aeruginosa,cefepime,susceptible
SAMN11953953,Pseudomonas aeruginosa,ceftazidime,susceptible
SAMN11953953,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN11953953,Pseudomonas aeruginosa,colistin,susceptible
SAMN11953953,Pseudomonas aeruginosa,doripenem,susceptible
SAMN11953953,Pseudomonas aeruginosa,gentamicin,susceptible
SAMN11953953,Pseudomonas aeruginosa,imipenem,resistant
SAMN11953953,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN11953953,Pseudomonas aeruginosa,meropenem,susceptible
SAMN11953953,Pseudomonas aeruginosa,tobramycin,susceptible
SAMN11953954,Pseudomonas aeruginosa,amikacin,susceptible
SAMN11953954,Pseudomonas aeruginosa,aztreonam,susceptible
SAMN11953954,Pseudomonas aeruginosa,cefepime,susceptible
SAMN11953954,Pseudomonas aeruginosa,ceftazidime,susceptible
SAMN11953954,Pseudomonas aeruginosa,ciprofloxacin,susceptible
SAMN11953954,Pseudomonas aeruginosa,colistin,susceptible
SAMN11953954,Pseudomonas aeruginosa,doripenem,susceptible
SAMN11953954,Pseudomonas aeruginosa,gentamicin,susceptible
SAMN11953954,Pseudomonas aeruginosa,imipenem,resistant
SAMN11953954,Pseudomonas aeruginosa,levofloxacin,susceptible
SAMN11953954,Pseudomonas aeruginosa,meropenem,resistant
SAMN11953954,Pseudomonas aeruginosa,tobramycin,susceptible
SAMN11953955,Pseudomonas aeruginosa,amikacin,susceptible
SAMN11953955,Pseudomonas aeruginosa,aztreonam,resistant
SAMN11953955,Pseudomonas aeruginosa,cefepime,susceptible
SAMN11953955,Pseudomonas aeruginosa,ceftazidime,susceptible
SAMN11953955,Pseudomonas aeruginosa,colistin,susceptible
SAMN11953955,Pseudomonas aeruginosa,doripenem,resistant
SAMN11953955,Pseudomonas aeruginosa,gentamicin,susceptible
SAMN11953955,Pseudomonas aeruginosa,imipenem,resistant
SAMN11953955,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN11953955,Pseudomonas aeruginosa,meropenem,resistant
SAMN11953955,Pseudomonas aeruginosa,tobramycin,susceptible
SAMN11953956,Pseudomonas aeruginosa,aztreonam,resistant
SAMN11953956,Pseudomonas aeruginosa,cefepime,resistant
SAMN11953956,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN11953956,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN11953956,Pseudomonas aeruginosa,colistin,susceptible
SAMN11953956,Pseudomonas aeruginosa,doripenem,resistant
SAMN11953956,Pseudomonas aeruginosa,gentamicin,resistant
SAMN11953956,Pseudomonas aeruginosa,imipenem,resistant
SAMN11953956,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN11953956,Pseudomonas aeruginosa,meropenem,resistant
SAMN11953956,Pseudomonas aeruginosa,tobramycin,resistant
SAMN11953957,Pseudomonas aeruginosa,amikacin,susceptible
SAMN11953957,Pseudomonas aeruginosa,cefepime,susceptible
SAMN11953957,Pseudomonas aeruginosa,ceftazidime,susceptible
